"cmsnet_10_aryo_activity_log","histid","int"
"cmsnet_10_aryo_activity_log_temp110temp","histid","int"
"cmsnet_10_cn_social_icon","id","int"
"cmsnet_10_commentmeta","meta_id","bigint"
"cmsnet_10_comments","comment_ID","bigint"
"cmsnet_10_links","link_id","bigint"
"cmsnet_10_lockdowns","lockdown_ID","bigint"
"cmsnet_10_login_fails","login_attempt_ID","bigint"
"cmsnet_10_options","option_id","bigint"
"cmsnet_10_postmeta","meta_id","bigint"
"cmsnet_10_posts","ID","bigint"
"cmsnet_10_revslider_css","id","int"
"cmsnet_10_revslider_css_bkp","id","int"
"cmsnet_10_revslider_layer_animations","id","int"
"cmsnet_10_revslider_layer_animations_bkp","id","int"
"cmsnet_10_revslider_navigations","id","int"
"cmsnet_10_revslider_navigations_bkp","id","int"
"cmsnet_10_revslider_sliders","id","int"
"cmsnet_10_revslider_sliders_bkp","id","int"
"cmsnet_10_revslider_slides","id","int"
"cmsnet_10_revslider_slides_bkp","id","int"
"cmsnet_10_revslider_static_slides","id","int"
"cmsnet_10_revslider_static_slides_bkp","id","int"
"cmsnet_10_rg_form","id","mediumint"
"cmsnet_10_rg_form_meta","form_id","mediumint"
"cmsnet_10_rg_form_view","id","bigint"
"cmsnet_10_rg_incomplete_submissions","uuid","char"
"cmsnet_10_statistics_exclusions","ID","int"
"cmsnet_10_statistics_historical","ID","bigint"
"cmsnet_10_statistics_pages","page_id","bigint"
"cmsnet_10_statistics_search","ID","bigint"
"cmsnet_10_statistics_useronline","ID","int"
"cmsnet_10_term_relationships","object_id","bigint"
"cmsnet_10_term_relationships","term_taxonomy_id","bigint"
"cmsnet_10_term_relationships_bak","object_id","bigint"
"cmsnet_10_term_relationships_bak","term_taxonomy_id","bigint"
"cmsnet_10_term_taxonomy","term_taxonomy_id","bigint"
"cmsnet_10_termmeta","meta_id","bigint"
"cmsnet_10_terms","term_id","bigint"
"cmsnet_10_trp_dictionary_fa_ir_en_us","id","bigint"
"cmsnet_10_trp_gettext_en_us","id","bigint"
"cmsnet_10_trp_gettext_fa_ir","id","bigint"
"cmsnet_10_trp_original_meta","meta_id","bigint"
"cmsnet_10_trp_original_strings","id","bigint"
"cmsnet_10_wc_download_log","download_log_id","bigint"
"cmsnet_10_wc_webhooks","webhook_id","bigint"
"cmsnet_10_woocommerce_api_keys","key_id","bigint"
"cmsnet_10_woocommerce_attribute_taxonomies","attribute_id","bigint"
"cmsnet_10_woocommerce_downloadable_product_permissions","permission_id","bigint"
"cmsnet_10_woocommerce_log","log_id","bigint"
"cmsnet_10_woocommerce_order_itemmeta","meta_id","bigint"
"cmsnet_10_woocommerce_order_items","order_item_id","bigint"
"cmsnet_10_woocommerce_payment_tokenmeta","meta_id","bigint"
"cmsnet_10_woocommerce_payment_tokens","token_id","bigint"
"cmsnet_10_woocommerce_sessions","session_key","char"
"cmsnet_10_woocommerce_shipping_zone_locations","location_id","bigint"
"cmsnet_10_woocommerce_shipping_zone_methods","instance_id","bigint"
"cmsnet_10_woocommerce_shipping_zones","zone_id","bigint"
"cmsnet_10_woocommerce_tax_rate_locations","location_id","bigint"
"cmsnet_10_woocommerce_tax_rates","tax_rate_id","bigint"
"cmsnet_2_cn_social_icon","id","int"
"cmsnet_2_rg_form","id","mediumint"
"cmsnet_2_rg_form_meta","form_id","mediumint"
"cmsnet_2_rg_form_view","id","bigint"
"cmsnet_2_rg_incomplete_submissions","uuid","char"
"cmsnet_2_rg_lead","id","int"
"cmsnet_2_rg_lead_detail","id","bigint"
"cmsnet_2_rg_lead_detail_long","lead_detail_id","bigint"
"cmsnet_2_rg_lead_meta","id","bigint"
"cmsnet_2_rg_lead_notes","id","int"
"cmsnet_2_woocommerce_api_keys","key_id","bigint"
"cmsnet_2_woocommerce_attribute_taxonomies","attribute_id","bigint"
"cmsnet_2_woocommerce_downloadable_product_permissions","permission_id","bigint"
"cmsnet_2_woocommerce_ir","id","int"
"cmsnet_2_woocommerce_log","log_id","bigint"
"cmsnet_2_woocommerce_order_itemmeta","meta_id","bigint"
"cmsnet_2_woocommerce_order_items","order_item_id","bigint"
"cmsnet_2_woocommerce_payment_tokenmeta","meta_id","bigint"
"cmsnet_2_woocommerce_payment_tokens","token_id","bigint"
"cmsnet_2_woocommerce_sessions","session_key","char"
"cmsnet_2_woocommerce_shipping_zone_locations","location_id","bigint"
"cmsnet_2_woocommerce_shipping_zone_methods","instance_id","bigint"
"cmsnet_2_woocommerce_shipping_zones","zone_id","bigint"
"cmsnet_2_woocommerce_tax_rate_locations","location_id","bigint"
"cmsnet_2_woocommerce_tax_rates","tax_rate_id","bigint"
"cmsnet_4_aryo_activity_log","histid","int"
"cmsnet_4_cn_social_icon","id","int"
"cmsnet_4_commentmeta","meta_id","bigint"
"cmsnet_4_comments","comment_ID","bigint"
"cmsnet_4_links","link_id","bigint"
"cmsnet_4_lockdowns","lockdown_ID","bigint"
"cmsnet_4_login_fails","login_attempt_ID","bigint"
"cmsnet_4_options","option_id","bigint"
"cmsnet_4_postmeta","meta_id","bigint"
"cmsnet_4_posts","ID","bigint"
"cmsnet_4_rg_form","id","mediumint"
"cmsnet_4_rg_form_meta","form_id","mediumint"
"cmsnet_4_rg_form_view","id","bigint"
"cmsnet_4_rg_incomplete_submissions","uuid","char"
"cmsnet_4_rg_lead","id","int"
"cmsnet_4_rg_lead_detail","id","bigint"
"cmsnet_4_rg_lead_detail_long","lead_detail_id","bigint"
"cmsnet_4_rg_lead_meta","id","bigint"
"cmsnet_4_rg_lead_notes","id","int"
"cmsnet_4_statistics_exclusions","ID","int"
"cmsnet_4_statistics_historical","ID","bigint"
"cmsnet_4_statistics_pages","uri","varchar"
"cmsnet_4_statistics_pages","date","date"
"cmsnet_4_statistics_search","ID","bigint"
"cmsnet_4_statistics_useronline","ID","int"
"cmsnet_4_statistics_visit","ID","int"
"cmsnet_4_statistics_visitor","ID","int"
"cmsnet_4_term_relationships","object_id","bigint"
"cmsnet_4_term_relationships","term_taxonomy_id","bigint"
"cmsnet_4_term_taxonomy","term_taxonomy_id","bigint"
"cmsnet_4_termmeta","meta_id","bigint"
"cmsnet_4_terms","term_id","bigint"
"cmsnet_4_wc_download_log","download_log_id","bigint"
"cmsnet_4_wc_product_meta_lookup","product_id","bigint"
"cmsnet_4_wc_webhooks","webhook_id","bigint"
"cmsnet_4_woocommerce_api_keys","key_id","bigint"
"cmsnet_4_woocommerce_attribute_taxonomies","attribute_id","bigint"
"cmsnet_4_woocommerce_downloadable_product_permissions","permission_id","bigint"
"cmsnet_4_woocommerce_ir","id","int"
"cmsnet_4_woocommerce_log","log_id","bigint"
"cmsnet_4_woocommerce_order_itemmeta","meta_id","bigint"
"cmsnet_4_woocommerce_order_items","order_item_id","bigint"
"cmsnet_4_woocommerce_payment_tokenmeta","meta_id","bigint"
"cmsnet_4_woocommerce_payment_tokens","token_id","bigint"
"cmsnet_4_woocommerce_sessions","session_id","bigint"
"cmsnet_4_woocommerce_shipping_zone_locations","location_id","bigint"
"cmsnet_4_woocommerce_shipping_zone_methods","instance_id","bigint"
"cmsnet_4_woocommerce_shipping_zones","zone_id","bigint"
"cmsnet_4_woocommerce_tax_rate_locations","location_id","bigint"
"cmsnet_4_woocommerce_tax_rates","tax_rate_id","bigint"
"cmsnet_5_cn_social_icon","id","int"
"cmsnet_5_rg_form","id","mediumint"
"cmsnet_5_rg_form_meta","form_id","mediumint"
"cmsnet_5_rg_form_view","id","bigint"
"cmsnet_5_rg_incomplete_submissions","uuid","char"
"cmsnet_5_rg_lead","id","int"
"cmsnet_5_rg_lead_detail","id","bigint"
"cmsnet_5_rg_lead_detail_long","lead_detail_id","bigint"
"cmsnet_5_rg_lead_meta","id","bigint"
"cmsnet_5_rg_lead_notes","id","int"
"cmsnet_5_woocommerce_api_keys","key_id","bigint"
"cmsnet_5_woocommerce_attribute_taxonomies","attribute_id","bigint"
"cmsnet_5_woocommerce_downloadable_product_permissions","permission_id","bigint"
"cmsnet_5_woocommerce_ir","id","int"
"cmsnet_5_woocommerce_log","log_id","bigint"
"cmsnet_5_woocommerce_order_itemmeta","meta_id","bigint"
"cmsnet_5_woocommerce_order_items","order_item_id","bigint"
"cmsnet_5_woocommerce_payment_tokenmeta","meta_id","bigint"
"cmsnet_5_woocommerce_payment_tokens","token_id","bigint"
"cmsnet_5_woocommerce_sessions","session_key","char"
"cmsnet_5_woocommerce_shipping_zone_locations","location_id","bigint"
"cmsnet_5_woocommerce_shipping_zone_methods","instance_id","bigint"
"cmsnet_5_woocommerce_shipping_zones","zone_id","bigint"
"cmsnet_5_woocommerce_tax_rate_locations","location_id","bigint"
"cmsnet_5_woocommerce_tax_rates","tax_rate_id","bigint"
"cmsnet_6_aryo_activity_log","histid","int"
"cmsnet_6_cn_social_icon","id","int"
"cmsnet_6_lockdowns","lockdown_ID","bigint"
"cmsnet_6_login_fails","login_attempt_ID","bigint"
"cmsnet_6_rg_form","id","mediumint"
"cmsnet_6_rg_form_meta","form_id","mediumint"
"cmsnet_6_rg_form_view","id","bigint"
"cmsnet_6_rg_incomplete_submissions","uuid","char"
"cmsnet_6_rg_lead","id","int"
"cmsnet_6_rg_lead_detail","id","bigint"
"cmsnet_6_rg_lead_detail_long","lead_detail_id","bigint"
"cmsnet_6_rg_lead_meta","id","bigint"
"cmsnet_6_rg_lead_notes","id","int"
"cmsnet_6_woocommerce_api_keys","key_id","bigint"
"cmsnet_6_woocommerce_attribute_taxonomies","attribute_id","bigint"
"cmsnet_6_woocommerce_downloadable_product_permissions","permission_id","bigint"
"cmsnet_6_woocommerce_ir","id","int"
"cmsnet_6_woocommerce_log","log_id","bigint"
"cmsnet_6_woocommerce_order_itemmeta","meta_id","bigint"
"cmsnet_6_woocommerce_order_items","order_item_id","bigint"
"cmsnet_6_woocommerce_payment_tokenmeta","meta_id","bigint"
"cmsnet_6_woocommerce_payment_tokens","token_id","bigint"
"cmsnet_6_woocommerce_sessions","session_key","char"
"cmsnet_6_woocommerce_shipping_zone_locations","location_id","bigint"
"cmsnet_6_woocommerce_shipping_zone_methods","instance_id","bigint"
"cmsnet_6_woocommerce_shipping_zones","zone_id","bigint"
"cmsnet_6_woocommerce_tax_rate_locations","location_id","bigint"
"cmsnet_6_woocommerce_tax_rates","tax_rate_id","bigint"
"cmsnet_7_aryo_activity_log","histid","int"
"cmsnet_7_cn_social_icon","id","int"
"cmsnet_7_lockdowns","lockdown_ID","bigint"
"cmsnet_7_login_fails","login_attempt_ID","bigint"
"cmsnet_7_rg_form","id","mediumint"
"cmsnet_7_rg_form_meta","form_id","mediumint"
"cmsnet_7_rg_form_view","id","bigint"
"cmsnet_7_rg_incomplete_submissions","uuid","char"
"cmsnet_7_rg_lead","id","int"
"cmsnet_7_rg_lead_detail","id","bigint"
"cmsnet_7_rg_lead_detail_long","lead_detail_id","bigint"
"cmsnet_7_rg_lead_meta","id","bigint"
"cmsnet_7_rg_lead_notes","id","int"
"cmsnet_7_woocommerce_api_keys","key_id","bigint"
"cmsnet_7_woocommerce_attribute_taxonomies","attribute_id","bigint"
"cmsnet_7_woocommerce_downloadable_product_permissions","permission_id","bigint"
"cmsnet_7_woocommerce_ir","id","int"
"cmsnet_7_woocommerce_log","log_id","bigint"
"cmsnet_7_woocommerce_order_itemmeta","meta_id","bigint"
"cmsnet_7_woocommerce_order_items","order_item_id","bigint"
"cmsnet_7_woocommerce_payment_tokenmeta","meta_id","bigint"
"cmsnet_7_woocommerce_payment_tokens","token_id","bigint"
"cmsnet_7_woocommerce_sessions","session_key","char"
"cmsnet_7_woocommerce_shipping_zone_locations","location_id","bigint"
"cmsnet_7_woocommerce_shipping_zone_methods","instance_id","bigint"
"cmsnet_7_woocommerce_shipping_zones","zone_id","bigint"
"cmsnet_7_woocommerce_tax_rate_locations","location_id","bigint"
"cmsnet_7_woocommerce_tax_rates","tax_rate_id","bigint"
"cmsnet_8_aryo_activity_log","histid","int"
"cmsnet_8_cn_social_icon","id","int"
"cmsnet_8_lockdowns","lockdown_ID","bigint"
"cmsnet_8_login_fails","login_attempt_ID","bigint"
"cmsnet_8_rg_form","id","mediumint"
"cmsnet_8_rg_form_meta","form_id","mediumint"
"cmsnet_8_rg_form_view","id","bigint"
"cmsnet_8_rg_incomplete_submissions","uuid","char"
"cmsnet_8_rg_lead","id","int"
"cmsnet_8_rg_lead_detail","id","bigint"
"cmsnet_8_rg_lead_detail_long","lead_detail_id","bigint"
"cmsnet_8_rg_lead_meta","id","bigint"
"cmsnet_8_rg_lead_notes","id","int"
"cmsnet_8_woocommerce_api_keys","key_id","bigint"
"cmsnet_8_woocommerce_attribute_taxonomies","attribute_id","bigint"
"cmsnet_8_woocommerce_downloadable_product_permissions","permission_id","bigint"
"cmsnet_8_woocommerce_ir","id","int"
"cmsnet_8_woocommerce_log","log_id","bigint"
"cmsnet_8_woocommerce_order_itemmeta","meta_id","bigint"
"cmsnet_8_woocommerce_order_items","order_item_id","bigint"
"cmsnet_8_woocommerce_payment_tokenmeta","meta_id","bigint"
"cmsnet_8_woocommerce_payment_tokens","token_id","bigint"
"cmsnet_8_woocommerce_sessions","session_key","char"
"cmsnet_8_woocommerce_shipping_zone_locations","location_id","bigint"
"cmsnet_8_woocommerce_shipping_zone_methods","instance_id","bigint"
"cmsnet_8_woocommerce_shipping_zones","zone_id","bigint"
"cmsnet_8_woocommerce_tax_rate_locations","location_id","bigint"
"cmsnet_8_woocommerce_tax_rates","tax_rate_id","bigint"
"cmsnet_9_aryo_activity_log","histid","int"
"cmsnet_9_cn_social_icon","id","int"
"cmsnet_9_commentmeta","meta_id","bigint"
"cmsnet_9_comments","comment_ID","bigint"
"cmsnet_9_links","link_id","bigint"
"cmsnet_9_lockdowns","lockdown_ID","bigint"
"cmsnet_9_login_fails","login_attempt_ID","bigint"
"cmsnet_9_options","option_id","bigint"
"cmsnet_9_postmeta","meta_id","bigint"
"cmsnet_9_posts","ID","bigint"
"cmsnet_9_rg_form","id","mediumint"
"cmsnet_9_rg_form_meta","form_id","mediumint"
"cmsnet_9_rg_form_view","id","bigint"
"cmsnet_9_rg_incomplete_submissions","uuid","char"
"cmsnet_9_rg_lead","id","int"
"cmsnet_9_rg_lead_detail","id","bigint"
"cmsnet_9_rg_lead_detail_long","lead_detail_id","bigint"
"cmsnet_9_rg_lead_meta","id","bigint"
"cmsnet_9_rg_lead_notes","id","int"
"cmsnet_9_statistics_exclusions","ID","int"
"cmsnet_9_statistics_historical","ID","bigint"
"cmsnet_9_statistics_pages","uri","varchar"
"cmsnet_9_statistics_pages","date","date"
"cmsnet_9_statistics_search","ID","bigint"
"cmsnet_9_statistics_useronline","ID","int"
"cmsnet_9_statistics_visit","ID","int"
"cmsnet_9_statistics_visitor","ID","int"
"cmsnet_9_term_relationships","object_id","bigint"
"cmsnet_9_term_relationships","term_taxonomy_id","bigint"
"cmsnet_9_term_taxonomy","term_taxonomy_id","bigint"
"cmsnet_9_termmeta","meta_id","bigint"
"cmsnet_9_terms","term_id","bigint"
"cmsnet_9_wc_download_log","download_log_id","bigint"
"cmsnet_9_wc_product_meta_lookup","product_id","bigint"
"cmsnet_9_wc_webhooks","webhook_id","bigint"
"cmsnet_9_woocommerce_api_keys","key_id","bigint"
"cmsnet_9_woocommerce_attribute_taxonomies","attribute_id","bigint"
"cmsnet_9_woocommerce_downloadable_product_permissions","permission_id","bigint"
"cmsnet_9_woocommerce_ir","id","int"
"cmsnet_9_woocommerce_log","log_id","bigint"
"cmsnet_9_woocommerce_order_itemmeta","meta_id","bigint"
"cmsnet_9_woocommerce_order_items","order_item_id","bigint"
"cmsnet_9_woocommerce_payment_tokenmeta","meta_id","bigint"
"cmsnet_9_woocommerce_payment_tokens","token_id","bigint"
"cmsnet_9_woocommerce_sessions","session_id","bigint"
"cmsnet_9_woocommerce_shipping_zone_locations","location_id","bigint"
"cmsnet_9_woocommerce_shipping_zone_methods","instance_id","bigint"
"cmsnet_9_woocommerce_shipping_zones","zone_id","bigint"
"cmsnet_9_woocommerce_tax_rate_locations","location_id","bigint"
"cmsnet_9_woocommerce_tax_rates","tax_rate_id","bigint"
"cmsnet_blog_versions","blog_id","bigint"
"cmsnet_blogmeta","meta_id","bigint"
"cmsnet_blogs","blog_id","bigint"
"cmsnet_commentmeta","meta_id","bigint"
"cmsnet_comments","comment_ID","bigint"
"cmsnet_links","link_id","bigint"
"cmsnet_postmeta","meta_id","bigint"
"cmsnet_posts","ID","bigint"
"cmsnet_registration_log","ID","bigint"
"cmsnet_signups","signup_id","bigint"
"cmsnet_site","id","bigint"
"cmsnet_statistics_exclusions","ID","int"
"cmsnet_statistics_historical","ID","bigint"
"cmsnet_statistics_pages","uri","varchar"
"cmsnet_statistics_pages","date","date"
"cmsnet_statistics_search","ID","bigint"
"cmsnet_statistics_useronline","ID","int"
"cmsnet_statistics_visit","last_counter","date"
"cmsnet_term_relationships","object_id","bigint"
"cmsnet_term_relationships","term_taxonomy_id","bigint"
"cmsnet_termmeta","meta_id","bigint"
"cmsnet_wc_download_log","download_log_id","bigint"
"cmsnet_wc_webhooks","webhook_id","bigint"
"cmsnet_woocommerce_api_keys","key_id","bigint"
"cmsnet_woocommerce_attribute_taxonomies","attribute_id","bigint"
"cmsnet_woocommerce_downloadable_product_permissions","permission_id","bigint"
"cmsnet_woocommerce_log","log_id","bigint"
"cmsnet_woocommerce_order_itemmeta","meta_id","bigint"
"cmsnet_woocommerce_order_items","order_item_id","bigint"
"cmsnet_woocommerce_payment_tokenmeta","meta_id","bigint"
"cmsnet_woocommerce_payment_tokens","token_id","bigint"
"cmsnet_woocommerce_sessions","session_key","char"
"cmsnet_woocommerce_shipping_zone_locations","location_id","bigint"
"cmsnet_woocommerce_shipping_zone_methods","instance_id","bigint"
"cmsnet_woocommerce_shipping_zones","zone_id","bigint"
"cmsnet_woocommerce_tax_rate_locations","location_id","bigint"
"cmsnet_woocommerce_tax_rates","tax_rate_id","bigint"
